Year,S-Tmode_Lim_et_al_2018,Sep-Nov[U]_60S10hPa_JRA55
1979,0.8884178,-5.53912
1980,-0.3514539,4.0547
1981,-0.797533,4.123391
1982,0.5416818,-3.58732
1983,-0.4809625,3.18042
1984,0.3458981,-1.32486
1985,-0.6211899,5.414526
1986,0.2676136,-3.6535
1987,-1.837249,18.07173
1988,1.516174,-16.6443
1989,-0.7468809,3.433854
1990,-0.760376,6.014012
1991,0.6367758,-4.83696
1992,0.675483,-4.54547
1993,-0.5581795,6.20675
1994,0.3152743,-2.13631
1995,-0.8466672,5.099743
1996,-0.1234923,1.497063
1997,-0.05498913,2.185966
1998,-1.011766,7.837583
1999,-1.295265,10.86666
2000,1.085202,-10.3807
2001,-1.309533,8.350487
2002,2.598057,-26.9387
2003,0.4962313,-4.61225
2004,0.804585,-6.01551
2005,1.056356,-6.89601
2006,-0.9224277,10.76015
2007,0.572586,-4.52834
2008,-0.7268634,6.20884
2009,0.05596076,1.606418
2010,-0.9337518,4.640075
2011,-0.9910388,9.637091
2012,1.451725,-13.7423
2013,1.364108,-12.1692
2014,0.4417735,-2.70298
2015,-1.816639,17.05118
2016,1.072356,-6.62887
2017,,-8.71611
2018,,7.873688
2019,,-27.1171
2020,,17.78937
2021,,16.09106
2022,,10.38187
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
