Year,Index
1979,-14.07895
1980,-12.07895
1981,-1.078949
1982,-11.07895
1983,1.921051
1984,-3.078949
1985,6.921051
1986,-20.07895
1987,6.921051
1988,-15.07895
1989,2.921051
1990,9.921051
1991,-15.07895
1992,2.921051
1993,1.921051
1994,-10.07895
1995,14.92105
1996,6.921051
1997,-1.078949
1998,17.92105
1999,29.92105
2000,-15.07895
2001,21.92105
2002,-31.07895
2003,-6.078949
2004,-7.078949
2005,-12.07895
2006,11.92105
2007,17.92105
2008,19.92105
2009,-2.078949
2010,16.92105
2011,12.92105
2012,-25.07895
2013,-7.078949
2014,8.921051
2015,8.921051
2016,-14.07895
